dataset,year,method,rho,AS
PHY,2017,S2,0.3,0.425746
PHY,2017,S2,0.4,0.656809
PHY,2017,S2,0.5,0.798425
PHY,2017,S2,0.6,0.911672
PHY,2017,S2,0.7,0.994069
PHY,2017,S2,0.8,1.000000
PHY,2017,S2,0.9,1.000000
PHY,2017,M2,0.1,0.188910
PHY,2017,M2,0.2,0.444500
PHY,2017,M2,0.3,0.573250
PHY,2017,M2,0.4,0.699500
PHY,2017,M2,0.5,0.807505
PHY,2017,M2,0.6,0.913000
PHY,2017,M2,0.7,0.954500
PHY,2017,M2,0.8,1.000000
PHY,2017,M2,0.9,1.000000
PHY,2017,M3,0.1,0.193891
PHY,2017,M3,0.2,0.444500
PHY,2017,M3,0.3,0.573250
PHY,2017,M3,0.4,0.714474
PHY,2017,M3,0.5,0.897000
PHY,2017,M3,0.6,0.930580
PHY,2017,M3,0.7,0.954500
PHY,2017,M3,0.8,1.000000
PHY,2017,M3,0.9,1.000000
PHY,2017,RANDOM,0.1,0.136805
PHY,2017,RANDOM,0.2,0.310920
PHY,2017,RANDOM,0.3,0.460570
PHY,2017,RANDOM,0.4,0.596680
PHY,2017,RANDOM,0.5,0.714689
PHY,2017,RANDOM,0.6,0.793315
PHY,2017,RANDOM,0.7,0.889070
PHY,2017,RANDOM,0.8,0.956405
PHY,2017,RANDOM,0.9,0.990304
PHY,2017,RANDOM_ALL_COMPULSORY,0.1,0.077747
PHY,2017,RANDOM_ALL_COMPULSORY,0.2,0.182995
PHY,2017,RANDOM_ALL_COMPULSORY,0.3,0.287218
PHY,2017,RANDOM_ALL_COMPULSORY,0.4,0.395080
PHY,2017,RANDOM_ALL_COMPULSORY,0.5,0.502352
PHY,2017,RANDOM_ALL_COMPULSORY,0.6,0.579617
PHY,2017,RANDOM_ALL_COMPULSORY,0.7,0.688497
PHY,2017,RANDOM_ALL_COMPULSORY,0.8,0.793810
PHY,2017,RANDOM_ALL_COMPULSORY,0.9,0.892761
PHY,2017,NESTED_TIMING,0.1,0.193891
